Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S,PassengerId
0,3,0,22,1,0,7.25,FALSE,TRUE,1
1,1,1,38,1,0,71.2833,FALSE,FALSE,2
1,3,1,26,0,0,7.925,FALSE,TRUE,3
1,1,1,35,1,0,53.1,FALSE,TRUE,4
0,3,0,35,0,0,8.05,FALSE,TRUE,5
0,3,0,28,0,0,8.4583,TRUE,FALSE,6
0,1,0,54,0,0,51.8625,FALSE,TRUE,7
0,3,0,2,3,1,21.075,FALSE,TRUE,8
1,3,1,27,0,2,11.1333,FALSE,TRUE,9
1,2,1,14,1,0,30.0708,FALSE,FALSE,10
1,3,1,4,1,1,16.7,FALSE,TRUE,11
1,1,1,58,0,0,26.55,FALSE,TRUE,12
0,3,0,20,0,0,8.05,FALSE,TRUE,13
0,3,0,39,1,5,31.275,FALSE,TRUE,14
0,3,1,14,0,0,7.8542,FALSE,TRUE,15
1,2,1,55,0,0,16,FALSE,TRUE,16
0,3,0,2,4,1,29.125,TRUE,FALSE,17
1,2,0,28,0,0,13,FALSE,TRUE,18
0,3,1,31,1,0,18,FALSE,TRUE,19
1,3,1,28,0,0,7.225,FALSE,FALSE,20
0,2,0,35,0,0,26,FALSE,TRUE,21
1,2,0,34,0,0,13,FALSE,TRUE,22
1,3,1,15,0,0,8.0292,TRUE,FALSE,23
1,1,0,28,0,0,35.5,FALSE,TRUE,24
0,3,1,8,3,1,21.075,FALSE,TRUE,25
1,3,1,38,1,5,31.3875,FALSE,TRUE,26
0,3,0,28,0,0,7.225,FALSE,FALSE,27
0,1,0,19,3,2,263,FALSE,TRUE,28
1,3,1,28,0,0,7.8792,TRUE,FALSE,29
0,3,0,28,0,0,7.8958,FALSE,TRUE,30
0,1,0,40,0,0,27.7208,FALSE,FALSE,31
1,1,1,28,1,0,146.5208,FALSE,FALSE,32
1,3,1,28,0,0,7.75,TRUE,FALSE,33
0,2,0,66,0,0,10.5,FALSE,TRUE,34
0,1,0,28,1,0,82.1708,FALSE,FALSE,35
0,1,0,42,1,0,52,FALSE,TRUE,36
1,3,0,28,0,0,7.2292,FALSE,FALSE,37
0,3,0,21,0,0,8.05,FALSE,TRUE,38
0,3,1,18,2,0,18,FALSE,TRUE,39
1,3,1,14,1,0,11.2417,FALSE,FALSE,40
0,3,1,40,1,0,9.475,FALSE,TRUE,41
0,2,1,27,1,0,21,FALSE,TRUE,42
0,3,0,28,0,0,7.8958,FALSE,FALSE,43
1,2,1,3,1,2,41.5792,FALSE,FALSE,44
1,3,1,19,0,0,7.8792,TRUE,FALSE,45
0,3,0,28,0,0,8.05,FALSE,TRUE,46
0,3,0,28,1,0,15.5,TRUE,FALSE,47
1,3,1,28,0,0,7.75,TRUE,FALSE,48
0,3,0,28,2,0,21.6792,FALSE,FALSE,49
0,3,1,18,1,0,17.8,FALSE,TRUE,50
0,3,0,7,4,1,39.6875,FALSE,TRUE,51
0,3,0,21,0,0,7.8,FALSE,TRUE,52
1,1,1,49,1,0,76.7292,FALSE,FALSE,53
1,2,1,29,1,0,26,FALSE,TRUE,54
0,1,0,65,0,1,61.9792,FALSE,FALSE,55
1,1,0,28,0,0,35.5,FALSE,TRUE,56
1,2,1,21,0,0,10.5,FALSE,TRUE,57
0,3,0,28.5,0,0,7.2292,FALSE,FALSE,58
1,2,1,5,1,2,27.75,FALSE,TRUE,59
0,3,0,11,5,2,46.9,FALSE,TRUE,60
0,3,0,22,0,0,7.2292,FALSE,FALSE,61
1,1,1,38,0,0,80,FALSE,TRUE,62
0,1,0,45,1,0,83.475,FALSE,TRUE,63
0,3,0,4,3,2,27.9,FALSE,TRUE,64
0,1,0,28,0,0,27.7208,FALSE,FALSE,65
1,3,0,28,1,1,15.2458,FALSE,FALSE,66
1,2,1,29,0,0,10.5,FALSE,TRUE,67
0,3,0,19,0,0,8.1583,FALSE,TRUE,68
1,3,1,17,4,2,7.925,FALSE,TRUE,69
0,3,0,26,2,0,8.6625,FALSE,TRUE,70
0,2,0,32,0,0,10.5,FALSE,TRUE,71
0,3,1,16,5,2,46.9,FALSE,TRUE,72
0,2,0,21,0,0,73.5,FALSE,TRUE,73
0,3,0,26,1,0,14.4542,FALSE,FALSE,74
1,3,0,32,0,0,56.4958,FALSE,TRUE,75
0,3,0,25,0,0,7.65,FALSE,TRUE,76
0,3,0,28,0,0,7.8958,FALSE,TRUE,77
0,3,0,28,0,0,8.05,FALSE,TRUE,78
1,2,0,0.83,0,2,29,FALSE,TRUE,79
1,3,1,30,0,0,12.475,FALSE,TRUE,80
0,3,0,22,0,0,9,FALSE,TRUE,81
1,3,0,29,0,0,9.5,FALSE,TRUE,82
1,3,1,28,0,0,7.7875,TRUE,FALSE,83
0,1,0,28,0,0,47.1,FALSE,TRUE,84
1,2,1,17,0,0,10.5,FALSE,TRUE,85
1,3,1,33,3,0,15.85,FALSE,TRUE,86
0,3,0,16,1,3,34.375,FALSE,TRUE,87
0,3,0,28,0,0,8.05,FALSE,TRUE,88
1,1,1,23,3,2,263,FALSE,TRUE,89
0,3,0,24,0,0,8.05,FALSE,TRUE,90
0,3,0,29,0,0,8.05,FALSE,TRUE,91
0,3,0,20,0,0,7.8542,FALSE,TRUE,92
0,1,0,46,1,0,61.175,FALSE,TRUE,93
0,3,0,26,1,2,20.575,FALSE,TRUE,94
0,3,0,59,0,0,7.25,FALSE,TRUE,95
0,3,0,28,0,0,8.05,FALSE,TRUE,96
0,1,0,71,0,0,34.6542,FALSE,FALSE,97
1,1,0,23,0,1,63.3583,FALSE,FALSE,98
1,2,1,34,0,1,23,FALSE,TRUE,99
0,2,0,34,1,0,26,FALSE,TRUE,100
0,3,1,28,0,0,7.8958,FALSE,TRUE,101
0,3,0,28,0,0,7.8958,FALSE,TRUE,102
0,1,0,21,0,1,77.2875,FALSE,TRUE,103
0,3,0,33,0,0,8.6542,FALSE,TRUE,104
0,3,0,37,2,0,7.925,FALSE,TRUE,105
0,3,0,28,0,0,7.8958,FALSE,TRUE,106
1,3,1,21,0,0,7.65,FALSE,TRUE,107
1,3,0,28,0,0,7.775,FALSE,TRUE,108
0,3,0,38,0,0,7.8958,FALSE,TRUE,109
1,3,1,28,1,0,24.15,TRUE,FALSE,110
0,1,0,47,0,0,52,FALSE,TRUE,111
0,3,1,14.5,1,0,14.4542,FALSE,FALSE,112
0,3,0,22,0,0,8.05,FALSE,TRUE,113
0,3,1,20,1,0,9.825,FALSE,TRUE,114
0,3,1,17,0,0,14.4583,FALSE,FALSE,115
0,3,0,21,0,0,7.925,FALSE,TRUE,116
0,3,0,70.5,0,0,7.75,TRUE,FALSE,117
0,2,0,29,1,0,21,FALSE,TRUE,118
0,1,0,24,0,1,247.5208,FALSE,FALSE,119
0,3,1,2,4,2,31.275,FALSE,TRUE,120
0,2,0,21,2,0,73.5,FALSE,TRUE,121
0,3,0,28,0,0,8.05,FALSE,TRUE,122
0,2,0,32.5,1,0,30.0708,FALSE,FALSE,123
1,2,1,32.5,0,0,13,FALSE,TRUE,124
0,1,0,54,0,1,77.2875,FALSE,TRUE,125
1,3,0,12,1,0,11.2417,FALSE,FALSE,126
0,3,0,28,0,0,7.75,TRUE,FALSE,127
1,3,0,24,0,0,7.1417,FALSE,TRUE,128
1,3,1,28,1,1,22.3583,FALSE,FALSE,129
0,3,0,45,0,0,6.975,FALSE,TRUE,130
0,3,0,33,0,0,7.8958,FALSE,FALSE,131
0,3,0,20,0,0,7.05,FALSE,TRUE,132
0,3,1,47,1,0,14.5,FALSE,TRUE,133
1,2,1,29,1,0,26,FALSE,TRUE,134
0,2,0,25,0,0,13,FALSE,TRUE,135
0,2,0,23,0,0,15.0458,FALSE,FALSE,136
